ActorID,ActorName
1,Mark Ruffalo
2,Bryce Dallas Howard
3,Jennifer Garner
4,Eli Roth
5,Demián Bichir
6,Keanu Reeves
7,Michelle Williams
8,Lewis MacDougall
9,Brendan Gleeson
10,Kristen Wiig
11,Benedict Cumberbatch
12,Kyle Chandler
13,Stephen Lang
14,Mila Kunis
15,Dev Patel
16,Oscar Isaac
17,Idris Elba
18,Ian McShane
19,Haley Lu Richardson
20,Travis Fimmel
21,Ellen Wong
22,Mark Wahlberg
23,Victoria Bruno
24,Orlando Bloom
25,Rachel House
26,Zoe Saldana
27,Russell Crowe
28,Emilia Clarke
29,Emily Blunt
30,Jason Bateman
31,Vin Diesel
32,Jennifer Lawrence
33,Jake Gyllenhaal
34,Reese Witherspoon
35,Gugu Mbatha-Raw
36,Emile Hirsch
37,Kathryn Hahn
38,Rebecca Ferguson
39,Alfie Allen
40,Ryan Reynolds
41,Elle Fanning
42,Hugh Jackman
43,Zooey Deschanel
44,Jason Sudeikis
45,Rooney Mara
46,Tangie Ambrose
47,Chris Pratt
48,Charlie Hunnam
49,Tobias Menzies
50,Nicholas Hoult
51,Steve Lantz
52,Jamie Dornan
53,Samuel L. Jackson
54,Charlotte Le Bon
55,Dylan Minnette
56,Lars Eidinger
57,Rachel McAdams
58,Gabriel Chavarria
59,Margot Robbie
60,Ali Larter
61,Diego Luna
62,Jared Harris
63,Naomie Harris
64,Aaron Poole
65,Tian Jing
66,Willem Dafoe
67,Alicia Vikander
68,John Boyega
69,Kevin Hart
70,Miles Teller
71,Auli'i Cravalho
72,Chris Evans
73,Marion Cotillard
74,Karl Urban
75,Jared Leto
76,Jennifer Aniston
77,Joseph Gordon-Levitt
78,Dakota Johnson
79,Gemma Arterton
80,Sam Worthington
81,Brian Cox
82,Dwayne Johnson
83,Eric Stonestreet
84,Luke Bracey
85,Aaron Eckhart
86,Louis C.K.
87,Milla Jovovich
88,John Carroll Lynch
89,Kate Beckinsale
90,Seth Rogen
91,Michael Keaton
92,Daisy Ridley
93,Noomi Rapace
94,Liam Hemsworth
95,Bryan Cranston
96,Justin Timberlake
97,J.K. Simmons
98,Matthew McConaughey
99,Theo James
100,Kenneth Welsh
101,Angourie Rice
102,Julia Roberts
103,Sienna Miller
104,Bill Murray
105,Robert Downey Jr.
106,Neil Patrick Harris
107,Michael Shannon
108,Kate Hudson
109,Andrew Garfield
110,Ben Affleck
111,Michelle Monaghan
112,Kate Winslet
113,Jennifer Jason Leigh
114,Viggo Mortensen
115,Michael Nyqvist
116,Sigourney Weaver
117,Bill Nighy
118,Taron Egerton
119,Diane Kruger
120,Brad Pitt
121,Janet McTeer
122,Jonah Hill
123,Henry Cavill
124,Leonardo DiCaprio
125,Johnny Depp
126,Michael Sheen
127,Mark Strong
128,Jeff Goldblum
129,T.J. Miller
130,Anya Taylor-Joy
131,Heath Ledger
132,Edward Norton
133,George MacKay
134,Keira Knightley
135,Paula Patton
136,Penélope Cruz
137,Bill Pullman
138,Casey Affleck
139,Chris Pine
140,Jane Levy
141,Scarlett Johansson
142,Colin Firth
143,Edgar Ramírez
144,Sam Claflin
145,Kristen Bell
146,Ty Simpkins
147,Iain Glen
148,Viola Davis
149,Tom Hanks
150,Haley Bennett
151,Morena Baccarin
152,Logan Marshall-Green
153,Zachary Quinto
154,Bradley Cooper
155,Felicity Jones
156,Nick Offerman
157,Anne Hathaway
158,Tom Hardy
159,James Franco
160,Ben Foster
161,Kristen Stewart
162,Elliot Page
163,Chiwetel Ejiofor
164,Austin Stowell
165,James McAvoy
166,Charlize Theron
167,Jeremy Irons
168,Mahershala Ali
169,Sigrid Bouaziz
170,Adam Driver
171,Ginnifer Goodwin
172,Ryan Gosling
173,Jessica Chastain
174,Trevante Rhodes
175,Emma Stone
176,Zoey Deutch
177,Tommy Lee Jones
178,Rosemarie DeWitt
179,Robert Pattinson
180,Ethan Hawke
181,Amy Adams
182,Denzel Washington
183,Laura Linney
184,Liam Neeson
185,Will Smith
186,Kurt Russell
187,Anna Kendrick
188,Alison Sudol
189,Janelle Monáe
190,Octavia Spencer
191,Ophelia Lovibond
192,Alan Tudyk
193,Samantha Isler
194,Taraji P. Henson
195,Jeremy Renner
196,Jennifer Ehle
197,Eddie Redmayne
198,Dan Aykroyd
199,Theo Rossi
200,Christian Bale
201,Douglas M. Griffin
202,Rosamund Pike
203,Katherine Waterston
204,Matt Damon
205,Nicole Kidman
206,Forest Whitaker
207,Seth MacFarlane
208,Michael Fassbender
