WriterID,WriterName
1,Rhett Reese
2,Dean Devlin
3,Saroo Brierley
4,Cory Goodman
5,Ian Goldberg
6,Joe Simon
7,Mark Millar
8,Shane Black
9,Rodo Sayagues
10,David S. Goyer
11,Dan Abnett
12,Terry George
13,Tate Taylor
14,Patrick Ness
15,David Ayer
16,Steven Kostanski
17,Shinobu Hashimoto
18,Aaron Guzikowski
19,Patrick Massett
20,Terence Winter
21,Nick Lathouris
22,Ken Daurio
23,Nacho Vigalondo
24,Nicolas Wright
25,Colin Trevorrow
26,Todd Komarnicki
27,Stan Lee
28,Ian Helfer
29,Rick Moranis
30,Robin Swicord
31,Matt Cook
32,James Cameron
33,Stephen McFeely
34,Lissa Evans
35,Kelly Marcel
36,Jon Lucas
37,Brian Lynch
38,Bryan Singer
39,Carlo Bernard
40,Martin Scorsese
41,Stephen Chin
42,Jack Kirby
43,Paul Greengrass
44,Shûsaku Endô
45,John Hamburg
46,Kenneth Lonergan
47,Duncan Jones
48,Dan O'Bannon
49,Paula Hawkins
50,Matt Ross
51,Bill Collage
52,David Barstow
53,Erin Cressida Wilson
54,Margot Lee Shetterly
55,Kathryn Stockett
56,Adam Cooper
57,Doug Jung
58,Robert Siegel
59,Gene Roddenberry
60,Andrew Knight
61,James Gunn
62,John Zinman
63,Kevin Grevioux
64,John Knoll
65,Steven Knight
66,E.L. Doctorow
67,Jared Bush
68,Jonathan Perera
69,Allan Loeb
70,Matthew Vaughn
71,Cheo Hodari Coker
72,Gillian Flynn
73,Jojo Moyes
74,James Gray
75,Seth Rogen
76,David Grann
77,Stuart Beattie
78,Akira Kurosawa
79,Erica Rivinoja
80,Siobhan Dowd
81,Ariel Shaffir
82,Matthew Sand
83,Joss Whedon
84,Austin Wright
85,Jonathan Nolan
86,Michael Dougherty
87,J.J. Abrams
88,John Musker
89,Christopher Nolan
90,Bill Dubuque
91,Ron Clements
92,Robert Ludlum
93,Lawrence Kasdan
94,Gaby Chiappe
95,Amanda Silver
96,Jonathan Aibel
97,Nathaniel Hawthorne
98,Scott Moore
99,Cinco Paul
100,Ben Affleck
101,George Miller
102,Tony Gilroy
103,Damien Chazelle
104,Ted Elliott
105,Zak Penn
106,Jeremy Gillespie
107,Ted Chiang
108,Hideo Oguni
109,Eric Heisserer
110,Jonah Hill
111,Elgin James
112,Scott Derrickson
113,Christopher Priest
114,Anya Kochoff
115,Chesley Sullenberger
116,Michael Arndt
117,John Ostrander
118,Rich Moore
119,E.L. James
120,James A. Woods
121,Fede Alvarez
122,Derek Kolstad
123,Barry Jenkins
124,Chris Terrio
125,Chris Weitz
126,Richard Naing
127,Byron Howard
128,Matthew Michael Carnahan
129,Brendan McCarthy
130,Jordan Belfort
131,Matthew Walker
132,Paul W.S. Anderson
133,Jason Smilovic
134,Todd Phillips
135,Michael Lesslie
136,Christopher Markus
137,Simon Pegg
138,Quentin Tarantino
139,Kyle Ward
140,Olivier Assayas
141,Nicole Perlman
142,Terry Rossio
143,Jeffrey Zaslow
144,Bob Kane
145,Joshua Zetumer
146,Dennis Lehane
147,Doug Miro
148,Jon Spaihts
149,Robert Schenkkan
150,Harold Ramis
151,Tom Hines
152,M. Night Shyamalan
153,Simon Kinberg
154,Glenn Berger
155,Luke Davies
156,Kyle Hunter
157,Rick Jaffa
158,Jay Cocks
159,Peter Berg
160,Damon Lindelof
161,Theodore Melfi
162,Anthony Bagarozzi
163,Christopher Rouse
164,Allison Schroeder
165,Paul Wernick
166,Dan Aykroyd
167,Tom Ford
168,C. Robert Cargill
169,Jane Goldman
170,Garth Jennings
171,Tarell Alvin McCraney
172,J.K. Rowling
173,Charles Leavitt
